bde_gxtb_kcal,E_gxtb_parent,E_gxtb_fragA,E_gxtb_fragB,note,id
48.54,-1744.7213849598431,-820.616529726346,-924.027502243356,,VLGMRHYUCPZBBQ-UHFFFAOYSA-N__BASNCCKFWWUDBG-UHFFFAOYSA-N
53.056,-3941.681065548445,-3245.513437590657,-696.08307743434,,TVOLBKRLGJWPDK-UHFFFAOYSA-N__ZERWPBSFLUHNDA-UHFFFAOYSA-N
47.944,-3941.6786266866407,-694.870004594642,-3246.732218170503,,ZERWPBSFLUHNDA-UHFFFAOYSA-N__TVOLBKRLGJWPDK-UHFFFAOYSA-N
49.702,-1744.7208784877291,-922.808258454205,-821.8334155938,,BASNCCKFWWUDBG-UHFFFAOYSA-N__VLGMRHYUCPZBBQ-UHFFFAOYSA-N
50.163,-1878.0146711780421,-919.808541904362,-958.126190083065,,YJRYCFVLCSZEAG-UHFFFAOYSA-N__KYGWVVRZYPBZGT-UHFFFAOYSA-N
48.335,-4609.464717331769,-3822.775092219541,-786.612598739287,,CSZZRYLWAXRTNQ-UHFFFAOYSA-N__CGZGMXSLQDVXME-UHFFFAOYSA-N
43.301,-1878.007560609717,-956.909241317613,-921.029314415583,,KYGWVVRZYPBZGT-UHFFFAOYSA-N__YJRYCFVLCSZEAG-UHFFFAOYSA-N
26.006,-4609.470611337682,-785.429120666435,-3824.000047134839,,CGZGMXSLQDVXME-UHFFFAOYSA-N__CSZZRYLWAXRTNQ-UHFFFAOYSA-N
30.945,-3898.759895917178,-3262.530468830458,-636.180113829872,,STVKLDJOQMLOCU-UHFFFAOYSA-N__LOXNXPSCZLFRJT-AATRIKPKSA-N
41.118,-3898.7772756986697,-634.967151708575,-3263.744597800789,,LOXNXPSCZLFRJT-AATRIKPKSA-N__STVKLDJOQMLOCU-UHFFFAOYSA-N
40.809,-2118.848849948082,-599.578612266782,-1519.205204620589,,MGJJTEKBMONTCP-UHFFFAOYSA-N__NRTORAVBWLJRMX-UHFFFAOYSA-N
,-2449.6449411088047,,,determine_bonds_failed,FLJHXLIGMQTVSG-UHFFFAOYSA-N__OPRWBRQQXFSXDD-UHFFFAOYSA-N
45.477,-2118.83740681959,-1517.968527554192,-600.796407133282,,NRTORAVBWLJRMX-UHFFFAOYSA-N__MGJJTEKBMONTCP-UHFFFAOYSA-N
,-2449.644082517973,,,determine_bonds_failed,OPRWBRQQXFSXDD-UHFFFAOYSA-N__FLJHXLIGMQTVSG-UHFFFAOYSA-N
29.173,-2172.4447704900062,-823.321122589074,-1349.077158113623,,UDYQQOWAOFCYIV-UHFFFAOYSA-N__RRZCXAVADGOJCY-UHFFFAOYSA-N
32.643,-2172.445682592728,-1347.857707926076,-824.535955248847,,RRZCXAVADGOJCY-UHFFFAOYSA-N__UDYQQOWAOFCYIV-UHFFFAOYSA-N
44.549,-2310.1364366762696,-919.575463434809,-1390.48997988189,,QKDYGSVKNIPWRC-UHFFFAOYSA-N__LHTCYULICDEHKE-UHFFFAOYSA-N
45.488,-2196.017585630463,-1043.672246384523,-1152.272848989338,,DOGSPNRZNVHECU-UHFFFAOYSA-N__VOVBJWTWXMYNQH-UHFFFAOYSA-N
49.208,-2196.0254711676084,-1151.05726941438,-1044.889783021136,,VOVBJWTWXMYNQH-UHFFFAOYSA-N__DOGSPNRZNVHECU-UHFFFAOYSA-N
40.961,-2310.123725310124,-1389.268419306613,-920.790031173404,,LHTCYULICDEHKE-UHFFFAOYSA-N__QKDYGSVKNIPWRC-UHFFFAOYSA-N
42.321,-9756.029571851948,-3857.43970506858,-5898.522424704433,,BRHOADVFPAGFCR-UHFFFAOYSA-N__XAARDLQCFVXTPT-UHFFFAOYSA-N
40.038,-9756.020285989756,-5897.301396862501,-3858.655084357851,,XAARDLQCFVXTPT-UHFFFAOYSA-N__BRHOADVFPAGFCR-UHFFFAOYSA-N
50.822,-4912.47402482137,-3694.316208101097,-1218.07682608903,,LYOXJJQOHIJFPD-UHFFFAOYSA-N__PWDZOVSBTJAABH-UHFFFAOYSA-N
42.688,-4912.469047533934,-1216.862325201748,-3695.538694022567,,PWDZOVSBTJAABH-UHFFFAOYSA-N__LYOXJJQOHIJFPD-UHFFFAOYSA-N
42.262,-1587.6604942788622,-784.980872822726,-802.612271896857,,OADHTSJQNYUVHX-UHFFFAOYSA-N__KSXSHNNQXUOMEF-UHFFFAOYSA-N
40.667,-1587.6572865056983,-801.394899128594,-786.197579838437,,KSXSHNNQXUOMEF-UHFFFAOYSA-N__OADHTSJQNYUVHX-UHFFFAOYSA-N
48.829,-4264.417769725434,-3547.183751566937,-717.156204835489,,CMTXZFKJIVFOSB-UHFFFAOYSA-N__IOTKTVXMHHWRIF-UHFFFAOYSA-N
47.151,-4264.414524519536,-715.936964065227,-3548.402421309137,,IOTKTVXMHHWRIF-UHFFFAOYSA-N__CMTXZFKJIVFOSB-UHFFFAOYSA-N
26.41,-3239.176349490338,-1653.119183644774,-1586.015078358939,,ZLAQYJKDQSZARB-OGCXVWDESA-N__XRKKAVDATSQCAC-UHFFFAOYSA-N
34.511,-3113.918306757133,-1343.150064206686,-1770.713245712593,,CLXMAIZWSJGDCT-UHFFFAOYSA-N__INESYPZMVPGZSM-XYAITNJASA-N
46.049,-2671.734262206559,-1499.448220302068,-1172.212657924132,,QLFFHGGWPDZMBB-UHFFFAOYSA-N__KJQFJDVYEHDEQB-UHFFFAOYSA-N
18.634,-3113.9043372711167,-1769.499600058612,-1344.375042783907,,INESYPZMVPGZSM-XYAITNJASA-N__CLXMAIZWSJGDCT-UHFFFAOYSA-N
